keys,values
.regex ^parker.*w.*|^k.w. parker.*|^k. w. parker$|^kenneth w. parker$,kenneth w. parker
".regex ^parker,.*|^k f parker.*|^k. f. parker.*|^k. f. parker;.*|^k.f. parker.*|^kittie f. parker.*|^k. parker.*",kittie fenley parker
.regex .*brouill.*,l. brouillet
.regex ^l.*hinc.*,l. c. hinckley
.regex .*foster.*,l. foster
.regex .*mcinto.*,laird mcintosh
.regex ^l.*leding.*,l. r. leding
.regex ^l.*redmo.*,l. redmore
.regex ^l.*shaw.*|^shaw.*lu.*,l. u. shaw and e. b. brownfield
.regex .*hoffarth.*,l. r. hoffarth
.regex .*higg.*,larry c. higgins
.regex .*lee.*c.*buf.*,lee c. buffington
.regex .*stark.*,lloyd r. stark
.regex .*yeatt.*,loraine yeatts
.regex ^l.*anderson.*,loran c. anderson
.regex .*lyman.*,lyman benson
.regex .*wind.*,m. d. windham
.regex ^m.*leding.*|^leding.*m.*,m. m. leding
".regex ^m.*howard.*|^m.o. howard.*|^m. howard,.*",m. o. howard
.regex .*rhod.*,m. rhodes
.regex .*mccut.*,mandy mccutcheon
.regex ^m.*baker.*,marc a. baker
.regex ^m.*ferg.*|^ferg.*m.*c.*,margaret clay ferguson
.regex ^m.*mayfie.*,mark h. mayfield
.regex .*mark.*lei.*,mark k. leist
.regex .*maximo.*,maximo jerez
.regex ^m.*moor.*,michael j. moore
.regex ^m.*mcc.*y$,michael mccrory
.regex ^m.*royb.*,michael w. roybal
.regex ^n.*dougl.*,n. a. douglas
.regex .*nathan.*t.*,nathan c. taylor
.regex .*ngart.*na.*,ngartoina dedjir
.regex .*nic.*hansen.*,nicole k. hansen
.regex .*gallach.*,nix
.regex .*holmgren.*,noel h. holmgren
.regex ^p.*hoban$|^hoban.*,p. hoban
.regex .*pierce.*,p. pierce
.regex ^p.*alexander.*|^alexand.*,patrick james alexander
.regex .*paul.*b.*l.*,paul b. lister
.regex .^p.*standley.*|^standl.*,paul carpenter standley
.regex .*cockrell.*,r. a. cockrell
.regex ^brozka.*,r. brozka
.regex .*rollin.*,r. c. rollins
.regex ^r.*sivins.*|^sivins.*,r. c. sivinski
.regex .*dale.*,r. dale thomas
.regex .*debu.*,r. h. debusk
.regex ^r..*reeves.*,r. g. reeves
.regex .*r.g. thompson.*,r. g. thompson
.regex .*hatch.*,r. hatch
.regex .*fleetw.*,r. j. fleetwood
.regex .*kleinman.*,r. kleinman
.regex .*kleinm.*,r. kleinman
.regex .*barraz.*,r. o. barraza
.regex .*sedillo.*,r. p. sedillo
.regex ^r.*johnso.*,r. roy johnson
.regex ^rau.*gutierr.*,raul gutierrez
.regex .*raymon.*,raymond c. jackson
.regex .*reid.*patri.*,reid and patrick
.regex ^r.*spell.*|^spell.*,richard william spellenberg
.regex .*^r. .*soreng$|^rob.*soreng$|^soreng.*|^rob soreng.*|^r. soreng.*|^r. soreng;.*|^rob j. soreng.*,robert john soreng
.regex .*burck.*,robert burckhalter
.regex .*king.*,robert m. king
".regex ^robert s. cambell.*|^robert s. campbell,.*|^r.*cam.*|^campbell.*",robert s. campbell
".regex .*ron k.*|^kass, ron.*",ron kass
.regex ^r.*hartm.*,ronald l. hartman
.regex ^r.*ward.*,russell g. ward
.regex ^s.*chamb.*,s. chambliss and s. primer
.regex  ^s.*anderson.*|^anderson.*s.*,s. e. anderson
.regex ^s.*sanch.*|^sanche.*sm.*,s. m. sanchez
.regex .*pedd.*,scott dick-peddie
